 -0.157079630E+02 -0.418255723E-07  0.707385736E-02
  0.347145996E+04  0.548337214E-01  0.697782263E-01
  0.348716797E+04  0.624450259E-01  0.688031241E-01
  0.350287573E+04  0.703776702E-01  0.667053610E-01
  0.351858374E+04  0.784312934E-01  0.633479282E-01
  0.353429175E+04  0.863576531E-01  0.586350933E-01
  0.354999976E+04  0.938701928E-01  0.525296032E-01
  0.356570752E+04  0.100660175E+00  0.450675897E-01
  0.358141553E+04  0.106419057E+00  0.363681167E-01
  0.359712354E+04  0.110864788E+00  0.266348496E-01
  0.361283154E+04  0.113768980E+00  0.161478929E-01
  0.362853931E+04  0.114980549E+00  0.524591981E-02
  0.364424731E+04  0.114442319E+00 -0.570005830E-02
  0.365995532E+04  0.112197086E+00 -0.163175147E-01
  0.367566333E+04  0.108382277E+00 -0.262634456E-01
  0.369137134E+04  0.103214182E+00 -0.352509357E-01
  0.370707910E+04  0.969645604E-01 -0.430677012E-01
  0.372278711E+04  0.899337083E-01 -0.495847166E-01
  0.373849512E+04  0.824241564E-01 -0.547550656E-01
  0.375420312E+04  0.747183561E-01 -0.586047433E-01
  0.376991089E+04  0.670623109E-01 -0.612180941E-01
  0.378561890E+04  0.596561134E-01 -0.627208501E-01
  0.380132715E+04  0.526506267E-01 -0.632633269E-01
  0.381703516E+04  0.461491346E-01 -0.630055889E-01
  0.383274316E+04  0.402125157E-01 -0.621056631E-01
  0.384845117E+04  0.348662585E-01 -0.607110448E-01
  0.386415894E+04  0.301081575E-01 -0.589534268E-01
  0.387986694E+04  0.259157438E-01 -0.569460206E-01
  0.389557495E+04  0.222528838E-01 -0.547829606E-01
  0.391128296E+04  0.190752577E-01 -0.525400825E-01
  0.392699072E+04  0.163346678E-01 -0.502766408E-01
  0.394269873E+04  0.139822196E-01 -0.480373986E-01
  0.395840674E+04  0.119705601E-01 -0.458549745E-01
  0.397411475E+04  0.102553116E-01 -0.437519923E-01
  0.398982251E+04  0.879589655E-02 -0.417431407E-01
  0.400553052E+04  0.755591225E-02 -0.398369357E-01
  0.402123853E+04  0.650320062E-02 -0.380372480E-01
  0.403694653E+04  0.560967950E-02 -0.363444611E-01
  0.405265430E+04  0.485106139E-02 -0.347565524E-01
  0.406836230E+04  0.420651259E-02 -0.332697816E-01
  0.408407031E+04  0.365826418E-02 -0.318793505E-01
  0.409977832E+04  0.319124293E-02 -0.305798128E-01
  0.411548633E+04  0.279270695E-02 -0.293654241E-01
  0.413119434E+04  0.245191040E-02 -0.282303691E-01
  0.414690186E+04  0.215983274E-02 -0.271689426E-01
  0.416260986E+04  0.190889055E-02 -0.261756405E-01
  0.417831787E+04  0.169272115E-02 -0.252452530E-01
  0.419402637E+04  0.150599238E-02 -0.243728701E-01
  0.420973438E+04  0.134423946E-02 -0.235539414E-01
  0.422544238E+04  0.120370602E-02 -0.227842480E-01
  0.424115039E+04  0.108124339E-02 -0.220599119E-01
  0.425685791E+04  0.974210736E-03 -0.213773753E-01
  0.427256592E+04  0.880377833E-03 -0.207333732E-01
  0.428827393E+04  0.797868764E-03 -0.201249402E-01
  0.430398193E+04  0.725097256E-03 -0.195493586E-01
  0.431968994E+04  0.660723541E-03 -0.190041568E-01
  0.433539795E+04  0.603614375E-03 -0.184870772E-01
  0.435110596E+04  0.552801648E-03 -0.179960728E-01
  0.436681396E+04  0.507467776E-03 -0.175292622E-01
  0.438252148E+04  0.466906291E-03 -0.170849413E-01
  0.439822949E+04  0.430520187E-03 -0.166615490E-01
  0.441393750E+04  0.397793570E-03 -0.162576567E-01
  0.442964551E+04  0.368283567E-03 -0.158719644E-01
  0.444535352E+04  0.341610750E-03 -0.155032771E-01
  0.446106152E+04  0.317443715E-03 -0.151504958E-01
  0.447676953E+04  0.295498001E-03 -0.148126204E-01
  0.449247754E+04  0.275524886E-03 -0.144887241E-01
  0.450818506E+04  0.257310225E-03 -0.141779566E-01
  0.452389307E+04  0.240661524E-03 -0.138795357E-01
